Word;Translation;Sentence;SentenceTranslation
godzinie;hour;Spotkajmy się o tej samej godzinie jutro.;Let's meet at the same time tomorrow.
kosztuje;it costs;Ile kosztuje ten produkt?;How much does this product cost?
obiecuję;I promise;Obiecuję, że zrobię wszystko, co w mojej mocy.;I promise to do everything in my power.
świadkiem;witness;Byłem świadkiem tego wypadku samochodowego.;I was a witness to that car accident.
wypadku;accident;Byłem świadkiem tego wypadku samochodowego.;I was a witness to that car accident.
tajemnica;secret;To jest nasza mała tajemnica.;This is our little secret.
anna;Anna;Moja siostra nazywa się Anna.;My sister's name is Anna.
czynników;factors;Sukces zależy od wielu czynników.;Success depends on many factors.
wolna;free;Czy jesteś wolna w ten weekend?;Are you free this weekend?
torbie;bag;Mam swoje klucze w torbie.;I have my keys in my bag.
cele;goals;Mam wiele celów do osiągnięcia.;I have many goals to achieve.
filmu;movie;Idziemy na seans filmu wieczorem.;We're going to see a movie tonight.
stresu;stress;Staram się unikać stresu w moim życiu.;I try to avoid stress in my life.
niesamowity;amazing;To było niesamowite doświadczenie.;It was an amazing experience.
równe;equal;Wszyscy ludzie powinni być traktowani w sposób równy.;All people should be treated equally.
minęły;have passed;Minęły już dwa tygodnie od naszego ostatniego spotkania.;Two weeks have passed since our last meeting.
miesiące;months;Pracowałem nad tym projektem przez ostatnie sześć miesięcy.;I have been working on this project for the past six months.
ostatniego;last;To był mój ostatni posiłek przed odjazdem.;It was my last meal before departure.
spotkania;meeting;Mamy planowane spotkanie jutro o godzinie 10.;We have a scheduled meeting tomorrow at 10 o'clock.
samolot;airplane;Lecimy samolotem do nowego miejsca.;We're flying by airplane to a new place.
przejdź;go;Proszę przejdź na następną stronę.;Please go to the next page.
następną;next;Proszę przejdź na następną stronę.;Please go to the next page.
zapomnij;forget;Nie zapomnij zamknąć drzwi na klucz.;Don't forget to lock the door.
aktorką;actress;Marzę o zostaniu aktorką.;I dream of becoming an actress.
najmłodszych;youngest;Ona jest najmłodsza z rodzeństwa.;She is the youngest of the siblings.
kochający;loving;Mój tata jest kochający i troskliwy.;My dad is loving and caring.
najlepsze;the best;To było jedno z najlepszych doświadczeń w moim życiu.;It was one of the best experiences in my life.
kieszeni;pocket;Mam klucze w kieszeni.;I have keys in my pocket.
zadziałać;work;Mam pewien plan, który mam nadzieję, że zadziała.;I have a plan that I hope will work.
posłuchać;listen;Czy możesz posłuchać moich problemów?;Can you listen to my problems?
ogromny;huge;To jest ogromny budynek, nie mogę uwierzyć.;It's a huge building, I can't believe it.
ciasteczka;cookies;Zjadłem wszystkie ciasteczka, zniknęły.;I ate all the cookies, they disappeared.
zniknęły;disappeared;Zjadłem wszystkie ciasteczka, zniknęły.;I ate all the cookies, they disappeared.
zostają;remain;Niewiele opcji nam zostaje, musimy znaleźć rozwiązanie.;We have few options remaining, we need to find a solution.
obrócę;turn;Obrócę się i pójdę w innym kierunku.;I will turn around and go in a different direction.
osiągnięcie;achievement;To jest duże osiągnięcie, powinieneś być z tego dumny.;It's a great achievement, you should be proud of it.
schodzimy;move out;Już schodzimy z mieszkania, wszystko jest gotowe.;We are already moving out of the apartment, everything is ready.
mieszkanie;apartment;Już schodzimy z mieszkania, wszystko jest gotowe.;We are already moving out of the apartment, everything is ready.
przytulne;cozy;Mam przytulne mieszkanie, uwielbiam w nim mieszkać.;I have a cozy apartment, I love living in it.
godzinę;hour;Spotkajmy się za godzinę przy głównej bramie.;Let's meet in an hour at the main gate.
szczerze;honestly;Mówię to szczerze, nie mam żadnych ukrytych intencji.;I say this honestly, I have no hidden intentions.
skrótową;abbreviated;To jest skrótowa wersja instrukcji, pełna wersja jest dostępna online.;This is an abbreviated version of the instructions, the full version is available online.
doktorem;doctor;Mój brat jest doktorem i pracuje w szpitalu.;My brother is a doctor and works in a hospital.
spełniony;fulfilled;Czuję się spełniony zawodowo.;I feel fulfilled professionally.
zawodowo;professionally;Czuję się spełniony zawodowo.;I feel fulfilled professionally.
drugą;second;To jest moja druga szansa, nie mogę tego zmarnować.;This is my second chance, I can't waste it.
połówką;half;Jesteśmy ze sobą jak druga połówka.;We are with each other like a half.
podejdź;approach;Proszę podejdź bliżej, mam coś do powiedzenia.;Please approach closer, I have something to say.
pełne;full;To jest pełne wyzwań, ale damy radę.;It's full of challenges, but we'll manage.
rozwiązać;solve;Mamy problem do rozwiązania, musimy znaleźć rozwiązanie.;We have a problem to solve, we need to find a solution.
liderem;leader;On jest liderem naszej drużyny, wszyscy go szanują.;He is the leader of our team, everyone respects him.
decydujący;decisive;To jest decydujący moment, musimy podjąć odpowiednie działania.;This is a decisive moment, we need to take appropriate actions.
głos;voice;Twój głos ma znaczenie, wyraź swoje zdanie.;Your voice matters, express your opinion.
kłopotów;troubles;Ona ma wiele kłopotów w życiu, potrzebuje wsparcia.;She has a lot of troubles in life, she needs support.
anno;Anno;Anno to starożytne miasto z bogatą historią.;Anno is an ancient city with a rich history.
ważną;important;To jest ważna decyzja, dobrze się nad nią zastanów.;This is an important decision, think it through carefully.
kluczyki;keys;Gdzie są moje kluczyki? Nie mogę ich znaleźć.;Where are my keys? I can't find them.
zatrzymaj;stop;Proszę zatrzymaj się, muszę zrobić zakupy.;Please stop, I need to do some shopping.
odpocznij;rest;Zrób sobie przerwę i odpocznij.;Take a break and rest.
energiczni;energetic;Jesteśmy energicznymi i pełnymi życia ludźmi.;We are energetic and full of life people.
gdybyśmy;if we;Gdybyśmy mieli więcej czasu, moglibyśmy to zrobić lepiej.;If we had more time, we could do it better.
poprosili;asked;Poprosili nas o pomoc, nie mogliśmy odmówić.;They asked us for help, we couldn't refuse.
świetna;great;To było świetne doświadczenie, nie zapomnę go nigdy.;It was a great experience, I will never forget it.
wrażeniem;impression;Zrobiłeś na mnie dobre wrażenie, jesteś bardzo kompetentny.;You made a good impression on me, you are very competent.
kolor;color;Jaki jest twój ulubiony kolor?;What is your favorite color?
butów;shoes;Potrzebuję nowych butów, moje się zepsuły.;I need new shoes, mine are broken.
wybór;choice;To jest twój wybór, zależy od ciebie.;It's your choice, it's up to you.
trzej;three;Trzej przyjaciele spotkali się na lunchu.;Three friends met for lunch.
mężczyźni;men;Ci mężczyźni wyglądają podejrzanie, uważaj na nich.;Those men look suspicious, be careful of them.
podejrzanie;suspiciously;Oni zachowują się podejrzanie, trzeba na nich uważać.;They are acting suspiciously, one must be careful of them.
skręć;turn;Skręć w lewo na następnym skrzyżowaniu.;Turn left at the next intersection.
marzeń;dreams;Chcę spełnić swoje marzenia i osiągnąć sukces.;I want to fulfill my dreams and achieve success.
rozwiązania;solutions;Mamy wiele rozwiązań do wyboru, musimy je przemyśleć.;We have many solutions to choose from, we need to think them through.
zamówić;order;Zamówię pizzę z pieczarkami, to moje ulubione.;I will order a pizza with mushrooms, it's my favorite.
pizzę;pizza;Zamówię pizzę z pieczarkami, to moje ulubione.;I will order a pizza with mushrooms, it's my favorite.
śpią;sleep;Dzieci już śpią, możemy porozmawiać.;The children are already sleeping, we can talk.
poznałem;I met;Poznałem ją na ostatniej imprezie.;I met her at the last party.
pożyczenia;borrowing;Czy mogę pożyczyć twoją książkę?;Can I borrow your book?
przeczytałeś;you read;Czy przeczytałeś już tę książkę?;Have you read this book already?
pieczarkami;with mushrooms;Zamówiłem pizzę z pieczarkami.;I ordered a pizza with mushrooms.
dostępne;available;Te informacje są dostępne online.;This information is available online.
miłego;nice;Życzę ci miłego dnia!;I wish you a nice day!
następnym;next;Spotkajmy się w następnym tygodniu.;Let's meet next week.
dobrych;good;Życzę ci samych dobrych rzeczy w życiu.;I wish you nothing but good things in life.
drugim;second;To jest mój drugi raz w tym miejscu.;This is my second time in this place.
zgłosić;report;Musisz zgłosić ten problem do obsługi klienta.;You need to report this problem to customer service.
problemów;problems;Mamy wiele problemów do rozwiązania.;We have many problems to solve.
naśladować;imitate;Nie próbuj naśladować innych, bądź sobą.;Don't try to imitate others, be yourself.
pomyśleć;think;Musisz pomyśleć o swojej decyzji przed podjęciem.;You need to think about your decision before making it.
pytaniem;question;Mam pytanie do nauczyciela.;I have a question for the teacher.
głupiego;silly;Nie rób głupich rzeczy, bądź rozważny.;Don't do silly things, be thoughtful.
strefie;zone;Jestem w strefie komfortu.;I am in my comfort zone.
utwór;piece;Ten utwór muzyczny jest piękny.;This musical piece is beautiful.
potrzebie;in need;Pomoc jest potrzebna tym, którzy jej potrzebują.;Help is needed by those who are in need.
dobrych;good;Mamy tutaj dobrych lekarzy, możesz im zaufać.;We have good doctors here, you can trust them.
zwrócić;return;Proszę zwrócić uwagę na szczegóły.;Please pay attention to the details.
szczegóły;details;Proszę zwrócić uwagę na szczegóły.;Please pay attention to the details.
informacje;information;Gdzie mogę znaleźć więcej informacji na ten temat?;Where can I find more information about this?
samodzielnie;independently;Potrafię radzić sobie samodzielnie.;I can handle things independently.
upuść;drop;Nie upuść tej butelki, jest bardzo delikatna.;Don't drop that bottle, it's very fragile.
butelkę;bottle;Nie upuść tej butelki, jest bardzo delikatna.;Don't drop that bottle, it's very fragile.
pięknych;beautiful;Cieszę się z pięknych widoków podczas podróży.;I enjoy beautiful views during my travels.
widoków;views;Cieszę się z pięknych widoków podczas podróży.;I enjoy beautiful views during my travels.
musieli;had to;Musieliśmy podjąć trudną decyzję.;We had to make a difficult decision.
podjąć;make;Musieliśmy podjąć trudną decyzję.;We had to make a difficult decision.
decyzję;decision;Musieliśmy podjąć trudną decyzję.;We had to make a difficult decision.
puść;let go;Puść to, nie trzymaj tego tak mocno.;Let it go, don't hold onto it so tightly.
spełni;fulfill;Marzenia mogą się spełnić, musisz w nie wierzyć.;Dreams can come true, you just have to believe in them.
myśl;thought;Mam pewną myśl, którą chciałbym ci przekazać.;I have a thought that I would like to share with you.
pomyśl;think;Pomyśl o swoim wyborze przed podjęciem decyzji.;Think about your choice before making a decision.
wykonanie;execution;To wykonanie było imponujące, świetnie to zrobiłeś.;The execution was impressive, you did a great job.
podjęcie;undertaking;Podjęcie tego zadania wymaga odpowiedniego przygotowania.;Undertaking this task requires proper preparation.
przyjechał;arrived;Przyjechał na spotkanie kilka minut temu.;He arrived at the meeting a few minutes ago.
silny;strong;Jestem silny i gotowy na wyzwania.;I am strong and ready for challenges.
podnieść;lift;Pomogę ci podnieść ten ciężki przedmiot.;I will help you lift this heavy object.
wyjaśnienia;explanation;Potrzebuję wyjaśnienia tego zagadnienia.;I need an explanation of this concept.
tysiące;thousands;Było tam tysiące ludzi na koncercie.;There were thousands of people at the concert.
